heading,source,content
Maria Sakkari Edges Pegula To Open WTA Finals,"Agence France-Presse   | Tuesday November 01, 2022","Greece's Sakkari, ranked fifth in the world, toppled third-ranked American Pegula 7-6 (8/6), 7-6 (7/4)"
"T20 World Cup, Afghanistan vs Sri Lanka, Live Score: Afghanistan Win Toss, Opt To Bat vs Sri Lanka","NDTV Sports Desk   | Tuesday November 01, 2022","T20 World Cup, AFG vs SL Live Score Updates: Afghanistan take on Sri Lanka in a T20 World Cup Group 1 match at the Gabba in Brisbane"
Google Pauses In-House Billing System For App Developers In India After Penalty: Report,"Reuters   | Tuesday November 01, 2022, BENGALURU",Google is pausing its policy that requires app developers to use its Google Play billing system for buying digital goods and services in India.
,,
ICAI CA Final Exam 2022 Begins Today; Important Checklist For Candidates,"Written by Arnab Mitra  | Tuesday November 01, 2022","ICAI CA Final Exam 2022: CA final exam will commence from November 1, while intermediate exam from November 2. Check COVID-19, important checklist for candidates"
Video Shows Dog Running Down A Street With Human Head In Its Mouth In Mexico,"Edited by Bhavya Sukheja  | Tuesday November 01, 2022","In a shocking incident, the residents of Zacatecas, Mexico, witnessed a dog carrying a decapitated human head in its mouth and running down a dark street at night."
"US Publishing Mega-Merger, Worth $2.2 Billion, Blocked By Federal Judge","Agence France-Presse   | Tuesday November 01, 2022, New York","A federal judge on Monday blocked publishing giant Penguin Random House from acquiring its competitor Simon & Schuster, siding with the US Justice Department which had argued against the mega-merger."
,,
"For PM's Visit, Gujarat Hospital's Overnight Clean-Up After Bridge Tragedy","Reported by Ankit Tyagi, Edited by Saikat Kumar Bose  | Tuesday November 01, 2022, Morbi, Gujarat",An all-night spruce up at the civil hospital in Gujarat's Morbi ahead of Prime Minister Narendra Modi's visit today to meet the survivors of the massive bridge collapse tragedy that left 134 dead has drawn criticism from the Opposition.
Will Donald Trump Return To Twitter? Elon Musk Comments,"Edited by Anjali Thakur  | Tuesday November 01, 2022","Speculations about Donald Trump's return to Twitter have been rife, Twitter's new owner Elon Musk has something to say."
"""Was He Spinner Or Batsman?"" Shahid Afridi's Dig At Amit Mishra Over Tweet On Babar Azam","NDTV Sports Desk   | Tuesday November 01, 2022",Former Pakistan captain Shahid Afridi was not impressed with Amit Mishra possibly taking a dig at Babar Azam
"""Discussions Taking Place"": Ex-Player On Possibility of India-Pakistan Test In Australia - Report","NDTV Sports Desk   | Tuesday November 01, 2022","The tickets for the two teams' T20 World Cup 2022 clash on October 23 were sold out within hours of its release. The match, which was played in Melbourne, saw a spectator attendance of over 90,000"
