title,sell_price,orig_price,rating,num_ratings_reviews
SAMSUNG 198 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer,"₹18,100","₹21,990",4.5,"55,256 Ratings & 6,347 Reviews"
SAMSUNG 198 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer  with Digi Touch Cool,"₹16,700","₹21,990",4.4,"10,396 Ratings & 1,236 Reviews"
Godrej 185 L Direct Cool Single Door 2 Star Refrigerator,"₹12,590","₹16,350",4.3,"3,195 Ratings & 316 Reviews"
LG 260 L Frost Free Double Door Top Mount 3 Star Convertible Refrigerator  with Smart Inverter,"₹27,290","₹36,390",4.4,"7,898 Ratings & 741 Reviews"
SAMSUNG 253 l Frost Free Double Door 2 Star Refrigerator,"₹22,790","₹26,990",4.4,"7,196 Ratings & 742 Reviews"
LG 190 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer  with Smart Inverter Compressor,"₹18,190","₹21,490",4.5,"9,263 Ratings & 995 Reviews"
Haier 195 L Direct Cool Single Door 4 Star Refrigerator,"₹16,990","₹28,200",4.4,"2,513 Ratings & 301 Reviews"
SAMSUNG 192 L Direct Cool Single Door 3 Star Refrigerator,"₹15,190","₹17,990",4.3,"15,788 Ratings & 1,609 Reviews"
LG 190 L Direct Cool Single Door 4 Star Refrigerator,"₹15,790","₹18,690",4.4,908 Ratings & 74 Reviews
LG 260 L Frost Free Double Door Top Mount 3 Star Refrigerator  with Smart Inverter,"₹26,290","₹33,690",4.4,"16,572 Ratings & 1,993 Reviews"
SAMSUNG 253 L Frost Free Double Door 3 Star Refrigerator,"₹24,890","₹31,990",4.4,"21,367 Ratings & 2,100 Reviews"
SAMSUNG 253 L Frost Free Double Door 2 Star Convertible Refrigerator,"₹24,990","₹32,990",4.4,"7,196 Ratings & 742 Reviews"
SAMSUNG 345 L Frost Free Double Door 3 Star Convertible Refrigerator,"₹37,040","₹44,990",4.3,"7,427 Ratings & 803 Reviews"
Haier 190 L Direct Cool Single Door 2 Star Refrigerator,"₹12,590","₹18,400",4.3,"7,439 Ratings & 742 Reviews"
Haier 53 L Direct Cool Single Door 2 Star Refrigerator,"₹9,590","₹12,500",4.3,440 Ratings & 35 Reviews
SAMSUNG 192 L Direct Cool Single Door 2 Star Refrigerator,"₹13,390","₹14,990",4.4,"35,216 Ratings & 3,292 Reviews"
SAMSUNG 275 L Frost Free Double Door 3 Star Convertible Refrigerator,"₹29,040","₹36,990",4.4,"6,323 Ratings & 673 Reviews"
SAMSUNG 198 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer,"₹16,950","₹19,990",4.4,"12,790 Ratings & 1,385 Reviews"
SAMSUNG 198 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer,"₹16,950","₹19,990",4.5,"55,256 Ratings & 6,347 Reviews"
Godrej 185 L Direct Cool Single Door 2 Star Refrigerator,"₹12,390","₹15,800",4.3,648 Ratings & 56 Reviews
Godrej 185 L Direct Cool Single Door 4 Star Refrigerator,"₹15,190","₹16,490",4.3,"13,119 Ratings & 1,425 Reviews"
SAMSUNG 253 L Frost Free Double Door 3 Star Convertible Refrigerator,"₹26,590","₹34,990",4.4,"12,184 Ratings & 1,194 Reviews"
CANDY 170 L Direct Cool Single Door 2 Star Refrigerator,"₹10,700","₹12,500",4.3,"6,387 Ratings & 793 Reviews"
Voltas Beko 195 L Direct Cool Single Door 2 Star Refrigerator,"₹12,990","₹19,790",,
,,,,
,,,,
CANDY 170 L Direct Cool Single Door 2 Star Refrigerator,"₹10,700","₹12,500",4.3,"6,387 Ratings & 793 Reviews"
Whirlpool 265 L Frost Free Double Door 3 Star Convertible Refrigerator,"₹28,690","₹34,050",4.3,"28,137 Ratings & 3,012 Reviews"
Whirlpool 240 L Frost Free Triple Door Refrigerator,"₹27,990","₹33,250",4.4,"30,753 Ratings & 3,806 Reviews"
CANDY 170 L Direct Cool Single Door 2 Star Refrigerator,"₹10,599","₹12,000",4.3,"6,387 Ratings & 793 Reviews"
Godrej 236 L Frost Free Double Door 2 Star Refrigerator,"₹20,590","₹21,900",4.2,"3,672 Ratings & 396 Reviews"
SAMSUNG 230 L Direct Cool Single Door 3 Star Refrigerator,"₹17,190","₹18,990",4.3,"15,788 Ratings & 1,609 Reviews"
LG 190 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer,"₹17,190","₹18,990",4.4,"35,648 Ratings & 3,449 Reviews"
SAMSUNG 225 L Direct Cool Single Door 4 Star Refrigerator,"₹17,790","₹23,990",4.4,298 Ratings & 35 Reviews
SAMSUNG 253 l Frost Free Double Door 1 Star Refrigerator,"₹20,690","₹25,990",4.4,943 Ratings & 70 Reviews
SAMSUNG 253 L Frost Free Double Door 2 Star Convertible Refrigerator,"₹26,490","₹32,990",4.4,"7,196 Ratings & 742 Reviews"
Haier 195 L Direct Cool Single Door 5 Star Refrigerator,"₹16,090","₹23,700",4.4,"24,583 Ratings & 2,715 Reviews"
MarQ by Flipkart 468 L Frost Free Side by Side Refrigerator,"₹43,990","₹64,999",4.3,"1,408 Ratings & 186 Reviews"
Haier 170 L Direct Cool Single Door 2 Star Refrigerator,"₹11,690","₹14,400",4.2,"3,544 Ratings & 296 Reviews"
SAMSUNG 275 L Frost Free Double Door 3 Star Refrigerator,"₹27,540","₹34,990",4.3,"1,526 Ratings & 132 Reviews"
Godrej 185 L Direct Cool Single Door 3 Star Refrigerator,"₹14,290","₹15,990",4.3,"13,119 Ratings & 1,425 Reviews"
Godrej 185 L Direct Cool Single Door 4 Star Refrigerator,"₹15,190","₹16,490",4.3,"13,119 Ratings & 1,425 Reviews"
Haier 256 L Frost Free Double Door Bottom Mount 2 Star Convertible Refrigerator,"₹23,490","₹35,900",4.4,858 Ratings & 75 Reviews
Whirlpool 300 L Frost Free Triple Door Refrigerator,"₹34,390","₹43,950",4.4,"30,753 Ratings & 3,806 Reviews"
CANDY 190 L Direct Cool Single Door 2 Star Refrigerator,"₹11,670","₹13,500",4.3,"3,450 Ratings & 511 Reviews"
"SAMSUNG 192 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer  with Digi Touch Cool, Curd...","₹19,000","₹21,990",4.4,979 Ratings & 125 Reviews
SAMSUNG 192 L Direct Cool Single Door 3 Star Refrigerator,"₹14,890","₹17,990",4.4,"7,863 Ratings & 829 Reviews"
SAMSUNG 220 L Direct Cool Single Door 4 Star Refrigerator  with Curd Maestro,"₹19,490","₹25,990",4.6,249 Ratings & 26 Reviews
Whirlpool 190 L Direct Cool Single Door 2 Star Refrigerator,"₹13,540","₹15,600",4.3,"37,717 Ratings & 3,488 Reviews"
Haier 195 L Direct Cool Single Door 4 Star Refrigerator,"₹15,250","₹18,400",4.4,"24,583 Ratings & 2,715 Reviews"
,,,,
Haier 195 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer,"₹17,790","₹29,100",4.4,275 Ratings & 46 Reviews
Whirlpool 340 L Frost Free Double Door 2 Star Convertible Refrigerator,"₹34,990","₹45,250",4.2,127 Ratings & 13 Reviews
LG 215 L Direct Cool Single Door 3 Star Refrigerator  with Fast Ice Making,"₹18,290","₹24,999",4.7,41 Ratings & 3 Reviews
SAMSUNG 253 L Frost Free Double Door 3 Star Refrigerator,"₹25,190","₹28,990",4.4,"7,014 Ratings & 703 Reviews"
