title,sell_price,orig_price,rating,num_ratings_reviews
Adsun Smart Series 60 cm (24 inch) HD Ready LED Smart Android Based TV,"₹6,649","₹18,999",3.8,"12,551 Ratings & 1,803 Reviews"
Adsun 60 cm (24 inch) HD Ready LED TV,"₹5,889","₹12,999",3.8,"12,551 Ratings & 1,803 Reviews"
SAMSUNG 80 cm (32 Inch) HD Ready LED Smart Tizen TV with 2022 Model,"₹13,499","₹18,900",4.3,"67,678 Ratings & 6,031 Reviews"
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),"₹13,999","₹24,999",4.4,"3,20,330 Ratings & 30,471 Reviews"
Infinix Y1 80 cm (32 inch) HD Ready LED Smart Linux TV,"₹8,999","₹16,999",4.2,"7,560 Ratings & 1,143 Reviews"
OnePlus Y1S 80 cm (32 inch) HD Ready LED Smart Android TV with Android 11 and Bezel-Less Frame,"₹15,999","₹21,999",4.3,"1,31,270 Ratings & 12,112 Reviews"
MarQ by Flipkart 60 cm (24 inch) HD Ready LED TV,"₹5,499","₹14,999",4.2,"1,034 Ratings & 119 Reviews"
Adsun Frameless 80 cm (32 inch) HD Ready LED Smart Android Based TV,"₹8,549","₹29,999",3.8,"12,551 Ratings & 1,803 Reviews"
TOSHIBA V35KP 80 cm (32 inch) HD Ready LED Smart Android TV with DTS Virtual X (2022 Model),"₹11,490","₹24,990",4.4,941 Ratings & 203 Reviews
Mi 5A 108 cm (43 inch) Full HD LED Smart Android TV with Dolby Audio (2022 Model),"₹24,999","₹35,999",4.4,"3,20,330 Ratings & 30,471 Reviews"
Adsun 80 cm (32 inch) HD Ready LED TV,"₹7,599","₹16,999",3.8,"12,551 Ratings & 1,803 Reviews"
Dyanora Sigma 108 cm (43 inch) Full HD LED Smart Linux TV with 40 Watt Box Speakers & Bezel-Less Desig...,"₹14,999","₹29,999",4.2,16 Ratings & 3 Reviews
OnePlus Y1S 108 cm (43 inch) Full HD LED Smart Android TV with Android 11 and Bezel-Less Frame,"₹24,999","₹31,999",4.3,"1,31,270 Ratings & 12,112 Reviews"
MarQ By Flipkart 80 cm (32 inch) HD Ready LED TV,"₹7,499","₹19,999",4.2,"8,423 Ratings & 1,022 Reviews"
Vu Premium TV 80 cm (32 inch) HD Ready LED Smart Linux TV with Bezel-Less Frame,"₹11,499","₹20,000",4.2,"6,941 Ratings & 779 Reviews"
realme 100.3 cm (40 inch) Full HD LED Smart Android TV,"₹19,999","₹31,999",4.3,"2,30,103 Ratings & 26,182 Reviews"
"Dyanora 60 cm (24 inch) HD Ready LED Smart Android Based TV with Noise Reduction, Android 9.0, (1GB RA...","₹6,999","₹12,999",4.1,"3,188 Ratings & 421 Reviews"
"Dyanora 80 cm (32 inch) HD Ready LED Smart Android TV with Noise Reduction, Android 9.0, Powerful Audi...","₹8,739","₹18,999",4.1,"3,188 Ratings & 421 Reviews"
OnePlus Y1 100 cm (40 inch) Full HD LED Smart Android TV with Dolby Audio,"₹21,999","₹27,999",4.3,"1,31,270 Ratings & 12,112 Reviews"
SAMSUNG Crystal 4K Neo Series 108 cm (43 inch) Ultra HD (4K) LED Smart Tizen TV with (Black) (2022 Mod...,"₹30,999","₹47,900",4.4,"13,388 Ratings & 1,453 Reviews"
"Dyanora 60 cm (24 inch) HD Ready LED Smart Android Based TV with Noise Reduction, Android 9.0, Powerfu...","₹6,699","₹12,499",4.1,"3,188 Ratings & 421 Reviews"
"Dyanora 60 cm (24 inch) HD Ready LED TV with Noise Reduction, Cinema Zoom, Powerful Audio Box Speakers","₹5,936","₹10,999",4.1,"3,188 Ratings & 421 Reviews"
SAMSUNG 80 cm (32 inch) HD Ready LED Smart Tizen TV,"₹13,490","₹22,900",4.3,"67,678 Ratings & 6,031 Reviews"
realme NEO 80 cm (32 inch) HD Ready LED Smart Linux TV,"₹11,999","₹21,999",4.3,"33,043 Ratings & 2,903 Reviews"
,,,,
,,,,
Thomson Alpha 80 cm (32 inch) HD Ready LED Smart Linux TV with 30 W Sound Output & Bezel-Less Design,"₹9,499","₹14,999",4.5,"5,670 Ratings & 1,025 Reviews"
Vu Premium 108 cm (43 inch) Full HD LED Smart Linux TV,"₹18,999","₹35,000",4.2,"6,941 Ratings & 779 Reviews"
Adsun Frameless 80 cm (32 inch) HD Ready LED Smart Android Based TV,"₹8,549","₹29,999",3.8,"12,551 Ratings & 1,803 Reviews"
Adsun 80 cm (32 inch) HD Ready LED TV,"₹7,599","₹16,999",3.8,"12,551 Ratings & 1,803 Reviews"
realme 108 cm (43 inch) Full HD LED Smart Android TV,"₹22,999","₹35,999",4.3,"2,30,103 Ratings & 26,182 Reviews"
SAMSUNG Crystal 4K Neo Series 138 cm (55 inch) Ultra HD (4K) LED Smart Tizen TV with (Black) (2022 Mod...,"₹46,990","₹70,900",4.4,"13,388 Ratings & 1,453 Reviews"
Dyanora Sigma 108 cm (43 inch) Full HD LED Smart Linux TV with 40 Watt Box Speakers & Bezel-Less Desig...,"₹14,999","₹29,999",4.2,16 Ratings & 3 Reviews
"Dyanora 108 cm (43 inch) Full HD LED Smart Android Based TV with Noise Reduction, Android 9.0, Google ...","₹15,999","₹32,999",4.1,"3,188 Ratings & 421 Reviews"
Compaq 108 cm (43 inch) Full HD LED Smart Android TV,"₹19,999","₹32,999",4.1,252 Ratings & 58 Reviews
SAMSUNG 108 cm (43 inch) Full HD LED Smart Tizen TV,"₹25,990","₹38,900",4.4,"4,501 Ratings & 487 Reviews"
