heading,source,content
Watch: Sri Lanka Players' Amazing Dance Post Beating Pakistan In Women's Asia Cup,"NDTV Sports Desk   | Thursday October 13, 2022",Sri Lanka defeated Pakistan by one run in the Women's Asia Cup to set up a title clash with India
"Google Pixel 7 Pro Becomes Top-Ranked Camera Phone on DxOMark, Surpasses iPhone 14 Pro","Written by Nithya P Nair , Edited by Siddharth Suvarna  | Thursday October 13, 2022","Google Pixel 7 Pro has undergone the DxOMark camera test and has achieved an overall score of 147 points. The Pixel 7 Pro has been ranked first in the smartphone category alongside Honor Magic 4 Ultimate, just above the iPhone 14 Pro."
"Tiger Still Inside The Bhopal College For 11th Day, Pugmarks Spotted","Press Trust of India   | Thursday October 13, 2022, Bhopal",The presence of a tiger on the sprawling 65-acre campus of the prestigious Maulana Azad National Institute of Technology (MANIT) in Bhopal in Madhya Pradesh entered the 11th day today.
,,
Supreme Court Refuses Urgent Hearing On Plea Against Firecracker Ban In Delhi,"Press Trust of India   | Thursday October 13, 2022, New Delhi","The Supreme Court today refused to accord urgent hearing to a plea against an order banning storage, sale, and use of all types of firecrackers in the national capital till January 1, 2023."
India Initiates Anti-Dumping Probe Over Chinese Glass Import,"Press Trust of India   | Thursday October 13, 2022, New Delhi",India has initiated an anti-dumping probe into import of Chinese glass used in home appliances products following a complaint by a domestic player.
"Kareena Kapoor Is ""Off To Work"" With Her ""Boy"" Jeh Ali Khan. See Pics","Written by Jyothi Jha  | Thursday October 13, 2022, New Delhi","""A quick pose before we leave,"" she wrote"
,,
Transgenders Entitled To Special Quota For Third Gender: Madras High Court,"Press Trust of India   | Thursday October 13, 2022, Chennai","The Madras High Court has held without ""hesitation"" that transgenders are entitled to a special reservation for third gender viz., transgender category for admission to post basic (nursing) and post basic diploma in psychiatry nursing courses."
PM Modi Launches Rural Roads Scheme In Himachal Pradesh,"Press Trust of India   | Thursday October 13, 2022, Chamba, Himachal Pradesh","Prime Minister Narendra Modi today launched the Pradhan Mantri Gram Sadak Yojana-III in Himachal Pradesh to upgrade 3,125 km of rural roads, saying the government wants to build roads in every village of the state."
21 Jamia Millia Islamia Researchers In Stanford University’s Global List Of Top 2 Per Cent Scientists,"Edited by Arnab Mitra  | Thursday October 13, 2022",Prof Ankan Sen and Prof Amir Azam are only on the career-long top 2 per cent of scientists in the list
Supreme Court To Hear Pleas Challenging Electoral Bond Scheme Tomorrow,"Press Trust of India   | Thursday October 13, 2022, New Delhi",The Supreme Court is scheduled to hear tomorrow a batch of pleas challenging laws permitting funding of political parties through the electoral bond scheme.
"David Warner's Captaincy Ban May Be Revoked, In Likely Contention For ODI Leadership: Report","Press Trust of India   | Thursday October 13, 2022","David Warner was handed a leadership ban following the infamous 2018 ball-tampering scandal, but has been looked upon as a possible candidate for Australia's vacant ODI captain's post"
"Kerala Killer's Facebook Posts Just Days After Women's Torture, Murder","Reported by Uma Sudhir | Thursday October 13, 2022, Hyderabad","Bhagaval Singh, one of the three persons in Kerala accused of torturing and killing two women and possibly eating their flesh in ""human sacrifice"", often posted poetry on Facebook, and described himself as ""self-employed in alternative medicine""."
"How Can There Be Pre-Screening Committee For Web Series, Asks Supreme Court","Press Trust of India   | Thursday October 13, 2022, New Delhi","Observing it always felt pre-censorship is impermissible, the Supreme Court Thursday wondered how can there be a pre-screening committee for web series, films or other programmes which are directly released on online platforms."
How A Tattoo Helped A 75-Year-Old Maharashtra Man Reunite With His Family,"Press Trust of India   | Thursday October 13, 2022, Thane",A 75-year-old man found in a paralysed condition in Mumbai's Santacruz East area was reunited with his family after functionaries of a social group managed to locate through an online search.
"15 Kg Gold Worth Rs 8 Crore, Foreign Currency Seized at Mumbai Airport, 7 Arrested","Asian News International   | Thursday October 13, 2022, Mumbai",Mumbai Airport customs seized 15 kgs of gold valued at Rs 7.87 crore in four cases and foreign currency worth Rs 22 lakh in two different cases.
'Five Important Questions': UN Shares Tips To Curb The Spread Of Misinformation,"Edited by Nikhil Pandey  | Thursday October 13, 2022","The United Nations advised in the post, ""Before you share content, take time to verify facts by asking yourself some important questions."""
Bhagwant Mann Launches Website To Streamline Process Of Partition Of Land,"Press Trust of India   | Thursday October 13, 2022, Chandigarh",Punjab Chief Minister Bhagwant Mann on Wednesday launched a website of the revenue department to further streamline the process for the partition of private land of a family.
Samajwadi Party To Hold Sabhas For Mulayam Singh Across UP On Oct 21,"Press Trust of India   | Thursday October 13, 2022, Etawah (UP)","The Samajwadi Party will be holding 'shradhanjali' (prayer meeting) meetings across Uttar Pradesh on October 21 to pay tributes to its departed leader Mulayam Singh Yadav, a party statement said today."
,,
"""Matter Of Shame"": Mamata Banerjee On Gandhi Look-Alike Asur At Puja Pandal","Press Trust of India   | Thursday October 13, 2022, Kolkata",West Bengal Chief Minister Mamata Banerjee said that people would give a befitting reply to those who tried to malign Durga Puja and insulted Mahatma Gandhi by replacing Mahisasura with a crudely-crafted lookalike of the father of the nation.
Hundreds Of British Citizens Forced To Cancel India Trip Due To Visa Delays,"Written by Parmeshwar Bawa  | Thursday October 13, 2022, New Delhi",Several UK citizens looking to visit India have been forced to postpone or cancel their trips after visa agents in the country received notices that they could no longer apply for tourist visas on behalf of the applicant.
100 People Threatened Me For Summoning AAP's Gopal Italia: Women's Panel Chief Rekha Sharma,"Asian News International   | Thursday October 13, 2022, New Delhi",National Commission for Women (NCW) chairperson Rekha Sharma on Thursday alleged that over 100 people came outside her office in support of Aam Aadmi Party Gujarat unit chief Gopal Italia.
,,
"Google Password Manager Gets Passkey Support for Android, Chrome","Written by Siddhant Chandra , Edited by Richa Sharma  | Thursday October 13, 2022",Google is bringing passkeys to Google Password Manager on Android and Chrome. This feature is currently only available to developers via Google Play Services beta and Chrome Canary.
30 Member-Nepal Delegation On 3-Day Visit To Delhi Government Schools,"Press Trust of India   | Thursday October 13, 2022, New Delhi","A delegation of 30 school principals, vice principals and teachers from Nepal is on a three-day visit to Delhi government schools, the Directorate of Education (DoE) said."
Karwa Chauth 2022: Sanjay Kapoor Carries The Sieve For Wife Maheep. Aww...,"Written by Jyothi Jha  | Thursday October 13, 2022, New Delhi","""Happy Karwa Chauth Maheep Kapoor,"" wrote Sanjay"
CAT 2022: Top Colleges In India Other Than IIMs Accepting CAT Score,"Written by Arpita Das  | Thursday October 13, 2022",Check the list of top management colleges in India accepting CAT 2022 scores other than IIMs.
Delhi Lt Governor Approves Felling Of Trees To Accommodate Infra Projects,"Press Trust of India   | Thursday October 13, 2022, New Delhi","Delhi LG VK Saxena has cleared eight files sent for his approval by Chief Minister Arvind Kejriwal's office, removing in effect a major roadblock in completion of important projects including redevelopment of AIIMS, officials at LG office said."
Uttarakhand Police Files Case Against UP Cops After Woman Dies In Shootout,"Asian News International   | Thursday October 13, 2022, Dehradun","Uttarakhand Police on Thursday registered a First Information Report (FIR) against over 10 Uttar Pradesh policemen under attempt to murder and other relevant sections of the IPC, following a raid by UP Police in which one woman died."
German Woman Arrested Over Plot To Kidnap Health Minister,"Agence France-Presse   | Thursday October 13, 2022, Berlin",German police on Thursday arrested a woman accused of being the ringleader of a far-right anti-lockdown group that planned to kidnap the health minister.
"Future iPad May Adopt Hybrid OLED Display, Apple Said to Be Working With Taiwan SMT: Report","Written by Nithya P Nair , Edited by Siddharth Suvarna  | Thursday October 13, 2022","Apple's future iPad models are said to come equipped with OLED screens. According to a new report, Taiwan SMT has entered into Apple's supply chain for the implementation of hybrid OLED displays in the iPad Pro. Apple is reportedly working with Samsung and LG to develop the displays."
